#,Name,Start,End,Length,Color
R1,FILL,3.3.19,4.1.00,0.1.81,8000FF
R2,INTRO 8,4.1.00,12.1.00,8.0.00,00FF00
R3,INTRO VOICE 8,12.1.00,20.1.00,8.0.00,80FF00
R4,VERSE 8,20.1.00,27.1.00,7.0.00,80FF80
R5,ENTER FILL,27.1.00,28.1.00,1.0.00,00FFFF
R6,BRIDGE 8,28.1.00,35.1.00,7.0.00,FFFF00
R7,CRESCENDO,35.1.00,36.1.00,1.0.00,FF8000
R8,CHORUS 16,36.1.00,51.1.00,15.0.00,FF0000
R9,EXIT FILL,51.1.00,52.1.00,1.0.00,0080FF
R10,INTRO VOICE 8,52.1.00,60.1.00,8.0.00,80FF00
R11,VERSE 8,60.1.00,67.1.00,7.0.00,80FF80
R12,ENTER FILL,67.1.00,68.1.00,1.0.00,00FFFF
R13,BRIDGE 8,68.1.00,75.1.00,7.0.00,FFFF00
R14,CRESCENDO,75.1.00,76.1.00,1.0.00,FF8000
R15,CHORUS 16,76.1.00,91.1.00,15.0.00,FF0000
R16,EXIT FILL,91.1.00,92.1.00,1.0.00,0080C0
R17,SOLO/VERSE 8,92.1.00,99.1.00,7.0.00,80FF00
R18,ENTER FILL,99.1.00,100.1.00,1.0.00,00FFFF
R19,SOLO/BRIDGE 8,100.1.00,107.1.00,7.0.00,FFFF00
R20,CRESCENDO,107.1.00,108.1.00,1.0.00,FF8000
R21,CHORUS 8,108.1.00,123.1.00,15.0.00,FF0000
R22,EXIT FILL,123.1.00,124.1.00,1.0.00,0080C0
R23,OUTRO 8,124.1.00,132.2.00,8.1.00,00FF00
